"","Action","Adventure","Animation","Children","Comedy","Crime","Documentary","Drama","Fantasy","Film-Noir","Horror","IMAX","Musical","Mystery","Romance","Sci-Fi","Thriller","War","Western","(no genres listed)"
"1580",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1584",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"1617",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"1625",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"1672",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1682",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"1704",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"1721",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"1784",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"1907",0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"1923",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1954",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1961",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1967",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"2011",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2028",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"2058",1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"2081",0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"2096",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2115",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2161",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2167",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"2193",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2268",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"2294",0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2301",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2302",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2321",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"2324",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"2355",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2381",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2420",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2421",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2445",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2502",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2529",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"2571",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"2572",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2628",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2640",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2699",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2762",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"2763",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2791",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2797",0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"2841",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"2858",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"2908",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2918",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2950",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"2959",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"3006",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"3147",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3160",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3175",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3178",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3252",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3408",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3448",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"3471",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"3479",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"3510",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"3527",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"3578",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3654",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"3740",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"3751",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3793",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3994",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"3996",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"4008",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"4015",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4025",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4033",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"4085",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4105",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"4223",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"4262",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4306",0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"4489",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4563",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4720",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
"4776",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"4886",0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4896",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4901",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"4963",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4979",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4993",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4995",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"5010",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"5135",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5218",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5299",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5349",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"5418",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"5419",0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"5445",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"5464",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5782",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"5816",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5952",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5989",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6218",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"6323",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"6333",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"6377",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6378",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6539",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6565",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6708",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6709",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6764",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6776",0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"6874",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6942",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"6979",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"7143",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"7147",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"7153",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"7160",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7263",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7318",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7367",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7438",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"7445",1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"7449",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"7458",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"7701",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8360",0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"8368",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"8529",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"8622",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8633",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8636",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"8644",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"8665",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8798",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"8810",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"8884",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8907",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8908",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"8947",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"8957",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"8958",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8961",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32302",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AVG",0.377118644067797,0.300847457627119,0.0677966101694915,0.0932203389830508,0.334745762711864,0.199152542372881,0.00847457627118644,0.423728813559322,0.105932203389831,0.00423728813559322,0.0635593220338983,0.0211864406779661,0.0550847457627119,0.0805084745762712,0.182203389830508,0.169491525423729,0.288135593220339,0.0677966101694915,0.00847457627118644,0
